ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
F9711007      ,2,3703043,0.2
E9556853      ,1,4414386,0.04
F9401174      ,2,1206235,0.19
F9711007      ,2,3703044,0.35
C6500970      ,1,1038511,0.05
F9401174      ,2,1206236,0.05
E9556853      ,1,4414387,0.04
F9711007      ,2,3703045,0.32
F9695697      ,1,4963851,0.07
D8584134      ,1,3126621,0.04
F9695697      ,1,4963852,0.08
D8584134      ,1,3126622,0.04
F9695698      ,2,3072712,0.11
F9401178      ,1,653436,0.05
D8584134      ,1,3126623,0.06
C8780408      ,1,267367,0
D8586612      ,1,2338659,0.02
F7360949      ,1,2069313,0.05
F7812096      ,1,341523,0.01
F7360941      ,1,2068973,0.01
D8584134      ,1,3126624,0.2
D8481322      ,1,2795654,0.07
F9695698      ,2,3072713,0.03
D8481322      ,1,2795655,0
D8481321      ,1,5407376,0.03
C8391460      ,1,1374798,0.03
F7830399      ,1,588530,0.08
C8391460      ,1,1374799,0.02
C9410194      ,1,2138448,0.02
F7830399      ,1,588531,0.04
F7360944      ,1,706676,0.02
F7350022      ,1,58374,0.05
A9400964      ,2,62376,0.04
F7360946      ,1,656194,0.02
F7831631      ,1,370421,0.03
F7360940      ,1,7087,0.01
F8353464      ,1,1710953,0.05
F7851954      ,1,369972,0.02
A9400964      ,2,62377,0.01
E9556853      ,1,4414388,0.02
C6500970      ,1,1038512,0.06
E9556853      ,1,4414389,0.05
D8584134      ,1,3126625,0.02
F9711007      ,2,3703046,0.38
D8584134      ,1,3126626,0.03
F9711007      ,2,3703047,0.13
F9401174      ,2,1206237,0.11
D8584134      ,1,3126627,0.03
F9401174      ,2,1206238,0.07
F9711007      ,2,3703048,0.45
F9401178      ,1,653437,0.02
D8584134      ,1,3126628,0.16
F9401174      ,2,1206239,0.04
F9695698      ,2,3072714,0.05
C8780408      ,1,267368,0.01
D8481322      ,1,2795656,0.03
F7360941      ,1,2068976,0.06
F7812096      ,1,341526,0.07
F7360949      ,1,2069316,0.07
F9695698      ,2,3072715,0.06
D8481322      ,1,2795657,0.02
A9400964      ,2,62378,0.04
D8586612      ,1,2338660,0
A9400964      ,2,62379,0.05
F7830399      ,1,588532,0.08
F9695697      ,1,4963853,0.09
C8391460      ,1,1374800,0.05
D8481321      ,1,5407377,0.02
F9695697      ,1,4963854,0.02
C8391460      ,1,1374801,0.03
D8584134      ,1,3126629,0.04
F7830399      ,1,588533,0.05
F7360944      ,1,706677,0.04
F7350022      ,1,58375,0.01
D8584134      ,1,3126630,0.04
C9410194      ,1,2138449,0.03
E9556853      ,1,4414390,0.05
F8353464      ,1,1710954,0.07
C6500970      ,1,1038513,0.08
F7851954      ,1,369973,0.02
F7360946      ,1,656195,0.02
F7831631      ,1,370422,0.03
F7360940      ,1,7088,0.02
C6590301      ,3,561588,0.04
D8584134      ,1,3126631,0.14
E9556853      ,1,4414391,0.02
C6590301      ,3,561589,0.02
D8584134      ,1,3126632,0.04
F9401174      ,2,1206240,0.08
F9711007      ,2,3703049,0.18
F9711007      ,2,3703050,0.48
F9401174      ,2,1206241,0.11
F9711007      ,2,3703051,0.17
F9401174      ,2,1206242,0.03
F9401178      ,1,653438,0.02
F7360941      ,1,2068979,0.02
F7360949      ,1,2069319,0.03
F7812096      ,1,341529,0.01
C8780408      ,1,267369,0.01
F9695698      ,2,3072716,0.1
D8584134      ,1,3126633,0.04
D8584134      ,1,3126634,0.1
F9695698      ,2,3072717,0.05
D8586612      ,1,2338661,0.02
F9695697      ,1,4963855,0.12
D8584134      ,1,3126635,0.04
F9695697      ,1,4963856,0.02
D8481321      ,1,5407378,0.04
A9400964      ,2,62380,0.03
D8584134      ,1,3126636,0.15
D8481322      ,1,2795658,0.07
C9410194      ,1,2138450,0.06
A9400964      ,2,62381,0.05
C8391460      ,1,1374802,0.03
D8481322      ,1,2795659,0.05
F7350022      ,1,58376,0.03
F7360944      ,1,706678,0.03
E9556853      ,1,4414392,0.07
C8391460      ,1,1374803,0
F8353464      ,1,1710955,0.02
F7851954      ,1,369974,0.02
F7830399      ,1,588534,0.15
F7360940      ,1,7089,0.01
F7360946      ,1,656196,0.01
F7831631      ,1,370423,0.02
E9556853      ,1,4414393,0.19
F7830399      ,1,588535,0.14
C6500970      ,1,1038514,0.06
F9401178      ,1,653439,0.05
F9711007      ,2,3703052,0.32
F9401174      ,2,1206243,0.11
D8584134      ,1,3126637,0.06
F9711007      ,2,3703053,0.11
D8584134      ,1,3126638,0.02
F9711007      ,2,3703054,0.34
D8584134      ,1,3126639,0.02
D8481322      ,1,2795660,0.03
F7360949      ,1,2069322,0.04
F7360941      ,1,2068982,0
F7812096      ,1,341532,0.04
F9401174      ,2,1206244,0
F9695698      ,2,3072718,0.11
D8584134      ,1,3126640,0.04
D8481322      ,1,2795661,0.1
F9401174      ,2,1206245,0.1
A9400964      ,2,62382,0.05
F9695698      ,2,3072719,0.16
D8586612      ,1,2338662,0
A9400964      ,2,62383,0.03
F9695697      ,1,4963857,0.12
D8481321      ,1,5407379,0.01
F9695697      ,1,4963858,0.11
C8391460      ,1,1374804,0.01
F7360944      ,1,706679,0.04
C8391460      ,1,1374805,0.04
F7350022      ,1,58377,0.01
C8780408      ,1,267370,0.01
C9410194      ,1,2138451,0
F7360946      ,1,656197,0
F7851954      ,1,369975,0
F7831631      ,1,370424,0.01
F7360940      ,1,7090,0.02
F8353464      ,1,1710956,0.01
E9556853      ,1,4414394,0.03
C6500970      ,1,1038515,0.05
D8584134      ,1,3126641,0.12
E9556853      ,1,4414395,0.17
F7830399      ,1,588536,0.09
F9401178      ,1,653440,0.08
D8584134      ,1,3126642,0.07
F7830399      ,1,588537,0.15
D8584134      ,1,3126643,0.04
D8481322      ,1,2795662,0
F7360949      ,1,2069325,0.02
F7360941      ,1,2068985,0.02
F7812096      ,1,341535,0.06
D8584134      ,1,3126644,0.12
D8481322      ,1,2795663,0.05
F9401174      ,2,1206246,0.18
F9711007      ,2,3703055,0.41
F9401174      ,2,1206247,0.08
A9400964      ,2,62384,0.04
F9711007      ,2,3703056,0.28
F9695698      ,2,3072720,0.01
F9401174      ,2,1206248,0.2
A9400964      ,2,62385,0.04
F9711007      ,2,3703057,0.17
F9695698      ,2,3072721,0.07
C8391460      ,1,1374806,0
F9695697      ,1,4963859,0.03
C8391460      ,1,1374807,0.03
D8586612      ,1,2338663,0.02
F9695697      ,1,4963860,0.09
C6500970      ,1,1038516,0.07
C8780408      ,1,267371,0.01
D8481321      ,1,5407380,0.02
D8584134      ,1,3126645,0.16
D8584134      ,1,3126646,0.01
F7350022      ,1,58378,0.01
C9410194      ,1,2138452,0.03
F7360944      ,1,706680,0.04
F7830399      ,1,588538,0.11
E9556853      ,1,4414396,0.06
D8584134      ,1,3126647,0.1
F8353464      ,1,1710957,0.04
F7360941      ,1,2068988,0
F7360949      ,1,2069328,0.02
F7360946      ,1,656198,0.03
F7360940      ,1,7091,0.02
F7812096      ,1,341538,0.05
F7831631      ,1,370425,0.03
F7851954      ,1,369976,0.03
E9556853      ,1,4414397,0.01
D8584134      ,1,3126648,0.09
F7830399      ,1,588539,0.11
D8481322      ,1,2795664,0.03
F9401178      ,1,653442,0.1
D8481322      ,1,2795665,0.12
F9711007      ,2,3703058,0.03
F9711007      ,2,3703059,0.12
F9401174      ,2,1206249,0.03
F9695698      ,2,3072722,0.12
F9401174      ,2,1206250,0.02
F9711007      ,2,3703060,0.19
A9400964      ,2,62386,0.03
D8586612      ,1,2338664,0.03
F9401174      ,2,1206251,0.06
F9695698      ,2,3072723,0
C8391460      ,1,1374808,0.01
A9400964      ,2,62387,0.06
F9695697      ,1,4963861,0.07
C8391460      ,1,1374809,0.05
D8481321      ,1,5407381,0.04
A9400964      ,2,62389,0.03
D8584134      ,1,3126649,0.05
C8780408      ,1,267372,0.01
F9695697      ,1,4963862,0.05
A9400964      ,2,62390,0.03
D8584134      ,1,3126650,0.11
C9410194      ,1,2138453,0.02
F7350022      ,1,58379,0.04
F7360944      ,1,706681,0.03
D8584134      ,1,3126651,0.05
F7360946      ,1,656199,0.02
F7360940      ,1,7092,0.04
F7851954      ,1,369977,0.03
F7831631      ,1,370426,0
F8353464      ,1,1710958,0.07
D8584134      ,1,3126652,0.1
F7830399      ,1,588540,0.08
E9556853      ,1,4414398,0.04
F7830399      ,1,588541,0.04
E9556853      ,1,4414399,0.17
F9711007      ,2,3703061,0.12
F9401174      ,2,1206252,0.13
F9711007      ,2,3703062,0.43
F9401174      ,2,1206253,0.09
F9711007      ,2,3703063,0.35
F9401178      ,1,653443,0.03
F9401174      ,2,1206254,0.11
F7812096      ,1,341541,0.05
F7360949      ,1,2069331,0.01
C8391460      ,1,1374810,0.02
F7360941      ,1,2068991,0.05
F9695698      ,2,3072724,0.09
C8391460      ,1,1374811,0.04
F9695698      ,2,3072725,0.08
F9695697      ,1,4963863,0.03
D8481322      ,1,2795666,0.05
D8586612      ,1,2338665,0.03
C8391460      ,1,1374812,0.03
F9695697      ,1,4963864,0.12
D8481322      ,1,2795667,0.03
A9400964      ,2,62391,0.04
C8780408      ,1,267373,0.02
A9400964      ,2,62392,0.04
D8481321      ,1,5407382,0.02
C9410194      ,1,2138454,0.04
F7350022      ,1,58380,0.02
F7360944      ,1,706682,0.05
F7831631      ,1,370427,0
F7360940      ,1,7093,0.02
F7851954      ,1,369978,0.07
F7360946      ,1,656200,0.01
F7830399      ,1,588542,0.11
E9556853      ,1,4414400,0.03
F9711007      ,2,3703064,0.07
E9556853      ,1,4414401,0.07
F9401174      ,2,1206255,0.1
C6500970      ,1,1038517,0.04
F9711007      ,2,3703065,0.24
F7830399      ,1,588543,0.12
F9401174      ,2,1206256,0.16
F9711007      ,2,3703066,0.05
F9401174      ,2,1206257,0.14
F9401178      ,1,653444,0.04
C8391460      ,1,1374813,0.03
C8391460      ,1,1374814,0.04
F7360949      ,1,2069334,0.05
F7812096      ,1,341544,0.03
F7360941      ,1,2068994,0.03
F9695697      ,1,4963865,0.12
F8353464      ,1,1710959,0
A9400964      ,2,62393,-0.26
F9695697      ,1,4963866,0.01
D8584134      ,1,3126653,0.01
A9400964      ,2,62394,0.03
D8481322      ,1,2795668,0.04
F9695698      ,2,3072726,0.08
A9400964      ,2,62395,0.05
D8584134      ,1,3126654,0.27
D8481322      ,1,2795669,0
F9695698      ,2,3072727,0.04
D8584134      ,1,3126655,0.14
C8780408      ,1,267374,0.02
D8586612      ,1,2338666,0.01
D8584134      ,1,3126656,0.14
C6500970      ,1,1038518,0.03
D8481321      ,1,5407383,0
F7830399      ,1,588544,0.08
F8353464      ,1,1710960,0.04
C8391460      ,1,1374815,0.01
C8391460      ,1,1374816,0.02
F7812096      ,1,341547,0.05
F7360941      ,1,2068997,0.05
F7360949      ,1,2069337,0.05
D8481322      ,1,2795670,0.06
D8584134      ,1,3126657,0.03
F7830399      ,1,588545,0.03
C9410194      ,1,2138455,0
D8481322      ,1,2795671,0.01
D8584134      ,1,3126658,0.07
C9410194      ,1,2138456,0.08
D8584134      ,1,3126659,0.22
F7350022      ,1,58381,0.05
F7360944      ,1,706683,0.03
E9556853      ,1,4414402,0.05
D8584134      ,1,3126660,0.01
F7831631      ,1,370428,0.03
F7360940      ,1,7094,0.03
F7360946      ,1,656201,0.06
F7851954      ,1,369979,0.02
F9695697      ,1,4963867,0.07
E9556853      ,1,4414403,0.05
F9401178      ,1,653445,0.03
F9401174      ,2,1206258,0.18
F9711007      ,2,3703067,0
F9695697      ,1,4963868,0.12
F9695698      ,2,3072728,0.29
D8586612      ,1,2338667,0.02
F9401174      ,2,1206259,0.05
F9711007      ,2,3703068,0.26
F9695698      ,2,3072729,0.12
F9401174      ,2,1206260,0.21
F9711007      ,2,3703069,0.5
D8481321      ,1,5407384,0.03
C8780408      ,1,267375,0.01
C6590301      ,3,561590,0.01
C6590301      ,3,561591,0.02
C6500970      ,1,1038519,0.03
D8584134      ,1,3126661,0.02
C8391460      ,1,1374817,0.01
F8353464      ,1,1710961,0.04
D8584134      ,1,3126662,0.13
A9400964      ,2,62396,0.04
C8391460      ,1,1374818,0.04
F7830399      ,1,588546,0.12
F7360944      ,1,706684,0.03
A9400964      ,2,62397,0.05
D8584134      ,1,3126663,0.05
F7350022      ,1,58382,0.04
D8584134      ,1,3126664,0.08
F7360946      ,1,656202,0.04
F7360940      ,1,7095,0.04
F7831631      ,1,370429,0.03
F7851954      ,1,369980,0.03
F7830399      ,1,588547,0.07
C9410194      ,1,2138457,0.01
F9695697      ,1,4963869,0
E9556853      ,1,4414404,0.06
F9695697      ,1,4963870,0.05
F9401178      ,1,653446,0.02
E9556853      ,1,4414405,0.03
D8481322      ,1,2795672,0.03
F7360949      ,1,2069340,0.04
F7812096      ,1,341550,0.04
F7360941      ,1,2069000,0.02
F9711007      ,2,3703070,0.07
C8780408      ,1,267376,0.01
F9401174      ,2,1206261,0.01
D8481322      ,1,2795673,0.09
D8584134      ,1,3126665,0.03
F9711007      ,2,3703071,0.23
F9401174      ,2,1206262,0.02
F9401174      ,2,1206263,0.05
D8584134      ,1,3126666,0.02
F9711007      ,2,3703072,0.49
D8584134      ,1,3126667,0.01
A9400964      ,2,62398,0.04
C8391460      ,1,1374819,0.04
D8584134      ,1,3126668,0
A9400964      ,2,62399,0.03
F9695698      ,2,3072730,0.05
F7830399      ,1,588548,0.11
C8391460      ,1,1374820,0
D8586612      ,1,2338668,0.01
F9695698      ,2,3072731,0.08
F7830399      ,1,588549,0.11
D8481321      ,1,5407385,0.02
C9410194      ,1,2138458,0.01
F7360944      ,1,706685,0.05
F7350022      ,1,58383,0.01
F9695697      ,1,4963871,0.05
F7360946      ,1,656203,0.01
F7360940      ,1,7096,0.03
F7851954      ,1,369981,0.02
F8353464      ,1,1710962,0.07
F7831631      ,1,370430,0.02
F9695697      ,1,4963872,0.11
E9556853      ,1,4414406,0.03
F9401178      ,1,653447,0.01
D8584134      ,1,3126669,0.05
F9711007      ,2,3703073,0.21
F9401174      ,2,1206264,0.07
E9556853      ,1,4414407,0.02
D8584134      ,1,3126670,0.09
F9401174      ,2,1206265,0.04
F9711007      ,2,3703074,0.2
F7812096      ,1,341553,0
F7360941      ,1,2069003,0.02
F7360949      ,1,2069343,0
C8780408      ,1,267377,0.02
F9401174      ,2,1206266,0.13
D8584134      ,1,3126671,0.15
F9711007      ,2,3703075,0.06
D8584134      ,1,3126672,0.16
A9400964      ,2,62400,0.05
F7830399      ,1,588550,0.11
A9400964      ,2,62401,0.01
F9695698      ,2,3072732,0.04
C8391460      ,1,1374821,0.01
D8586612      ,1,2338669,0.01
F7830399      ,1,588551,0.07
F9695698      ,2,3072733,0.04
C8391460      ,1,1374822,0.01
D8481321      ,1,5407386,0.01
D8584134      ,1,3126673,0.08
C6500970      ,1,1038520,0.01
F7350022      ,1,58384,0.04
F7360944      ,1,706686,0.05
D8481322      ,1,2795674,0.08
D8584134      ,1,3126674,0.02
F9695697      ,1,4963873,0.09
F8353464      ,1,1710963,0.01
F7360940      ,1,7097,0
F7831631      ,1,370431,0.02
F7360946      ,1,656204,0.06
F7851954      ,1,369982,0.01
D8481322      ,1,2795675,0.1
E9556853      ,1,4414408,0.02
D8584134      ,1,3126675,0.03
C9410194      ,1,2138459,0.03
F9695697      ,1,4963874,0.05
F9401178      ,1,653448,0.05
D8584134      ,1,3126676,0.04
E9556853      ,1,4414409,0.08
F9401174      ,2,1206267,0.04
F9711007      ,2,3703076,0.04
F9401174      ,2,1206268,0.19
F9711007      ,2,3703077,0.27
F9711007      ,2,3703078,0.07
F9401174      ,2,1206269,0.01
A9400964      ,2,62402,0.06
C8391460      ,1,1374823,0.01
A9400964      ,2,62403,0.02
C8391460      ,1,1374824,0.03
C8780408      ,1,267378,0
F7360941      ,1,2069006,0.05
F7360949      ,1,2069346,0.01
F7812096      ,1,341556,0.02
F9695698      ,2,3072734,0.13
D8481322      ,1,2795676,0.01
D8584134      ,1,3126677,0.07
D8586612      ,1,2338670,0.02
F9695698      ,2,3072735,0.07
D8481322      ,1,2795677,0.04
D8584134      ,1,3126678,0.03
D8481321      ,1,5407387,0.01
D8584134      ,1,3126679,0.04
F7830399      ,1,588552,0.07
D8584134      ,1,3126680,0.01
F7830399      ,1,588553,0.04
C9410194      ,1,2138460,0.03
F7350022      ,1,58385,0.01
F7360944      ,1,706687,0.05
E9556853      ,1,4414410,0.09
F8353464      ,1,1710964,0.03
F7851954      ,1,369983,0.04
F7831631      ,1,370432,0.03
F7360940      ,1,7098,0.06
F7360946      ,1,656205,0
E9556853      ,1,4414411,0.09
C6500970      ,1,1038521,0.08
F9401178      ,1,653449,0.06
F9711007      ,2,3703079,0.2
F9695697      ,1,4963875,0.06
F9711007      ,2,3703080,0.28
F9401174      ,2,1206270,0.09
F9711007      ,2,3703081,0.1
F9695697      ,1,4963876,0.18
F9401174      ,2,1206271,0.12
F9401174      ,2,1206272,0.1
F7360941      ,1,2069009,0
F7360949      ,1,2069349,0.02
F7812096      ,1,341559,0.07
D8584134      ,1,3126681,0.17
D8481322      ,1,2795678,0.08
C6590301      ,3,561592,0.03
C8780408      ,1,267379,0.02
D8481322      ,1,2795679,0.06
D8584134      ,1,3126682,0.06
C6590301      ,3,561593,0.11
A9400964      ,2,62404,0.03
A9400964      ,2,62405,0.04
D8584134      ,1,3126683,0.1
C8391460      ,1,1374825,0.01
F9695698      ,2,3072736,0.02
C8391460      ,1,1374826,0.04
D8584134      ,1,3126684,0.08
F7830399      ,1,588554,0.03
D8586612      ,1,2338671,0.01
F9695698      ,2,3072737,0.07
D8481321      ,1,5407388,0.01
F7830399      ,1,588555,0.07
C6500970      ,1,1038522,0.04
C9410194      ,1,2138461,0.02
F7350022      ,1,58386,0.04
F7360944      ,1,706688,0.03
F8353464      ,1,1710965,0.02
F9695697      ,1,4963877,0
F7360946      ,1,656206,0.01
F7851954      ,1,369984,0.03
F7360940      ,1,7099,0.01
F7831631      ,1,370433,0.01
F9401178      ,1,653450,0.09
E9556853      ,1,4414412,0.06
F9695697      ,1,4963878,0.09
D8481322      ,1,2795680,0.09
D8584134      ,1,3126685,0.02
F7360949      ,1,2069352,0.06
F7812096      ,1,341562,0.04
F7360941      ,1,2069012,0.03
E9556853      ,1,4414413,0.02
D8481322      ,1,2795681,0.08
F9711007      ,2,3703082,0.36
F9401174      ,2,1206273,0.12
D8584134      ,1,3126686,0.07
F9711007      ,2,3703083,0.51
F9401174      ,2,1206274,0.07
D8584134      ,1,3126687,0.08
F9711007      ,2,3703084,0.14
F9401174      ,2,1206275,0
C8780408      ,1,267380,0.01
F9711007      ,2,3703085,0.03
D8584134      ,1,3126688,0.01
F7830399      ,1,588556,0.09
F7830399      ,1,588557,0.06
D8586612      ,1,2338672,0.01
A9400964      ,2,62406,0.06
F9695698      ,2,3072738,0.24
A9400964      ,2,62407,0.04
F9695698      ,2,3072739,0.13
D8481321      ,1,5407389,0.01
C6500970      ,1,1038523,0.05
C9410194      ,1,2138462,0.04
D8584134      ,1,3126689,0.08
C8391460      ,1,1374827,0.03
C9410194      ,1,2138463,0.02
F7360944      ,1,706689,0.01
F7350022      ,1,58387,0.04
F8353464      ,1,1710966,0.08
D8584134      ,1,3126690,0.13
F9695697      ,1,4963879,0.09
C8391460      ,1,1374828,0.03
F7851954      ,1,369985,0.02
F7360946      ,1,656207,0.03
F7831631      ,1,370434,0.03
F7360940      ,1,7100,0.01
F9695697      ,1,4963880,0.02
D8584134      ,1,3126691,0.13
D8584134      ,1,3126692,0.02
E9556853      ,1,4414414,0.04
F9401174      ,2,1206276,0.1
F9711007      ,2,3703086,0.57
E9556853      ,1,4414415,0.07
F9401174      ,2,1206277,0.08
F9711007      ,2,3703087,0.07
F9711007      ,2,3703088,0.33
F9401174      ,2,1206278,0.1
F9401178      ,1,653451,0.02
F7360949      ,1,2069355,0.04
F9711007      ,2,3703089,0
F7812096      ,1,341565,0.05
F7360941      ,1,2069015,0.02
D8481322      ,1,2795682,0.02
D8481322      ,1,2795683,0.07
C8780408      ,1,267381,0.04
A9400964      ,2,62408,0.01
F7830399      ,1,588558,0.1
F9695698      ,2,3072740,0.06
A9400964      ,2,62409,0.06
F7830399      ,1,588559,0.02
F9695698      ,2,3072741,0.09
D8584134      ,1,3126693,0.05
C6500970      ,1,1038524,0.05
D8584134      ,1,3126694,0.09
D8586612      ,1,2338673,0.11
D8584134      ,1,3126695,0.22
D8481321      ,1,5407390,0.04
F9695697      ,1,4963881,0.12
D8584134      ,1,3126696,0.1
F9695697      ,1,4963882,0.06
C9410194      ,1,2138464,0.06
C8391460      ,1,1374829,0.04
F7360944      ,1,706690,0
F8353464      ,1,1710967,0.21
F7350022      ,1,58388,0.02
E9556853      ,1,4414416,0.04
C8391460      ,1,1374830,0.04
F7360940      ,1,7101,0.04
F7851954      ,1,369986,0
F7831631      ,1,370435,0.01
F7360946      ,1,656208,0.04
E9556853      ,1,4414417,0.07
F9401178      ,1,653452,0.03
F9401174      ,2,1206279,0.03
F9711007      ,2,3703090,0.2
F7360949      ,1,2069358,0.02
F7812096      ,1,341568,0.03
D8481322      ,1,2795684,0.01
F7360941      ,1,2069018,0.03
F9401174      ,2,1206280,0.07
F9711007      ,2,3703091,0.29
D8481322      ,1,2795685,0.03
F9401174      ,2,1206281,0.02
F9695698      ,2,3072742,0.08
D8586612      ,1,2338674,0.01
F9711007      ,2,3703092,0.22
C8780408      ,1,267382,0.03
F9695698      ,2,3072743,0.04
D8481321      ,1,5407391,0.02
D8584134      ,1,3126697,0.03
D8584134      ,1,3126698,0.18
F7830399      ,1,588560,0.19
A9400964      ,2,62410,0.02
D8584134      ,1,3126699,0.02
C6500970      ,1,1038525,0.02
A9400964      ,2,62411,0.02
F8353464      ,1,1710968,0.01
D8584134      ,1,3126700,0.06
F7830399      ,1,588561,0.08
F9695697      ,1,4963883,-3.32
F9695697      ,1,4963884,0
F9695697      ,1,4963885,0.02
C8391460      ,1,1374831,0.02
C8391460      ,1,1374832,0.04
F9695698      ,2,3072744,0.02
F7812096      ,1,341571,0.04
F7360941      ,1,2069021,0.02
F7360949      ,1,2069361,0
F9695698      ,2,3072745,0.06
D8481322      ,1,2795686,0
C8780408      ,1,267383,0.02
D8481322      ,1,2795687,0.04
C6500970      ,1,1038526,0.02
D8584134      ,1,3126701,-0.08
F7830399      ,1,588562,0.1
D8586612      ,1,2338675,0.02
D8584134      ,1,3126702,0.09
F7830399      ,1,588563,0.06
C9410194      ,1,2138465,0.02
D8584134      ,1,3126703,0.08
D8481321      ,1,5407392,0.01
D8584134      ,1,3126704,0.11
F7360944      ,1,706691,0.07
F7350022      ,1,58389,0.03
D8584134      ,1,3126705,0.02
F7831631      ,1,370436,0.01
F7360946      ,1,656209,0.02
F9695697      ,1,4963886,0.01
F7360940      ,1,7102,0.01
F7851954      ,1,369987,0.02
F9401178      ,1,653453,0.02
